country_name,city_name,aqi_value,aqi_category,co_aqi_value	,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good
Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate
Indonesia,Pamekasan,54,Moderate,1,Good,35,Good,0,Good,54,Moderate
Indonesia,Prabumulih,49,Good,1,Good,30,Good,0,Good,49,Good
Indonesia,Pringsewu,63,Moderate,2,Good,40,Good,0,Good,63,Moderate
Indonesia,Lubuk Pakam,98,Moderate,2,Good,47,Good,0,Good,98,Moderate
Indonesia,Mojoagung,155,Unhealthy,3,Good,91,Moderate,2,Good,155,Unhealthy
Indonesia,Lamongan,167,Unhealthy,3,Good,123,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy
Indonesia,Karang Tengah,105,Unhealthy for Sensitive Groups,2,Good,59,Moderate,1,Good,105,Unhealthy for Sensitive Groups
Indonesia,Kembaran,54,Moderate,1,Good,29,Good,1,Good,54,Moderate
Indonesia,Malang,67,Moderate,1,Good,36,Good,0,Good,67,Moderate
Indonesia,Kutoarjo,58,Moderate,1,Good,28,Good,0,Good,58,Moderate
Indonesia,Mataram,34,Good,1,Good,25,Good,0,Good,34,Good
Indonesia,Mertoyudan,66,Moderate,1,Good,32,Good,1,Good,66,Moderate
Indonesia,Driyorejo,157,Unhealthy,2,Good,84,Moderate,2,Good,157,Unhealthy
Indonesia,Ngaglik,60,Moderate,1,Good,29,Good,1,Good,60,Moderate
Indonesia,Purwakarta,101,Unhealthy for Sensitive Groups,2,Good,90,Moderate,1,Good,101,Unhealthy for Sensitive Groups
Indonesia,Palembang,74,Moderate,2,Good,47,Good,0,Good,74,Moderate
Indonesia,Pameungpeuk,97,Moderate,2,Good,70,Moderate,1,Good,97,Moderate
Indonesia,Leuwiliang,264,Very Unhealthy,15,Good,8,Good,52,Moderate,264,Very Unhealthy
Indonesia,Sidareja,189,Unhealthy,10,Good,7,Good,25,Good,189,Unhealthy
Indonesia,Wlingi,176,Unhealthy,8,Good,10,Good,17,Good,176,Unhealthy
Indonesia,Mlonggo,82,Moderate,2,Good,50,Good,1,Good,82,Moderate
Indonesia,Ngoro,121,Unhealthy for Sensitive Groups,2,Good,60,Moderate,1,Good,121,Unhealthy for Sensitive Groups
Indonesia,Ciampea,154,Unhealthy,4,Good,154,Unhealthy,2,Good,126,Unhealthy for Sensitive Groups
Indonesia,Balaipungut,57,Moderate,2,Good,12,Good,2,Good,57,Moderate
Indonesia,Bandung,198,Unhealthy,11,Good,6,Good,30,Good,198,Unhealthy
Indonesia,Boyolali,201,Very Unhealthy,12,Good,2,Good,28,Good,201,Very Unhealthy
Indonesia,Brebes,151,Unhealthy,5,Good,23,Good,10,Good,151,Unhealthy
Indonesia,Sabang,40,Good,1,Good,23,Good,0,Good,40,Good
Indonesia,Sumber,54,Moderate,1,Good,34,Good,0,Good,54,Moderate
Indonesia,Waingapu,55,Moderate,0,Good,25,Good,0,Good,55,Moderate
Indonesia,Balung,100,Unhealthy for Sensitive Groups,2,Good,45,Good,1,Good,100,Unhealthy for Sensitive Groups
Indonesia,Wanaraja,57,Moderate,1,Good,29,Good,1,Good,57,Moderate
Indonesia,Sukaraja,67,Moderate,1,Good,40,Good,1,Good,67,Moderate
Indonesia,Prigen,153,Unhealthy,3,Good,84,Moderate,2,Good,153,Unhealthy
Indonesia,Sibolga,35,Good,0,Good,14,Good,0,Good,35,Good
Indonesia,Sumbawa,25,Good,1,Good,25,Good,0,Good,21,Good
Indonesia,Klangenan,67,Moderate,1,Good,38,Good,1,Good,67,Moderate
Indonesia,Kebonarum,65,Moderate,1,Good,32,Good,1,Good,65,Moderate
Indonesia,Kebumen,61,Moderate,1,Good,34,Good,0,Good,61,Moderate
Indonesia,Sidoarjo,153,Unhealthy,2,Good,58,Moderate,2,Good,153,Unhealthy
